"MJD	band	Flux	Flux_err	FilterSet	Instr"
"57984.748	Sinistro_i	1.3953919378595558e-16	1.9278052050025144e-17	KN_Filters_clean	Sinistro"
"57984.751	Sinistro_z	9.423208168770326e-17	2.603728638907464e-17	KN_Filters_clean	Sinistro"
"57984.758	Sinistro_g	1.0169871395744588e-16	1.9670275189825055e-17	KN_Filters_clean	Sinistro"
"57984.758	Sinistro_w	1.626615001576347e-16	8.989006691180472e-18	KN_Filters_clean	Sinistro"
"57984.761	Sinistro_g	1.1463453166922312e-16	2.1116461101108856e-17	KN_Filters_clean	Sinistro"
"57984.761	Sinistro_w	1.626615001576347e-16	8.989006691180472e-18	KN_Filters_clean	Sinistro"
"57984.962	FourStar_Ks	2.6975200123722178e-17	1.4907046484477454e-18	KN_Filters_clean	FourStar"
"57984.9625	FourStar_J	8.724913972031369e-17	8.035942739859869e-19	KN_Filters_clean	FourStar"
"57984.968	Sinistro_r	1.043630357224862e-16	1.0573409893819568e-17	KN_Filters_clean	Sinistro"
"57984.9714	FourStar_H	4.859445144251727e-17	4.475714379747812e-19	KN_Filters_clean	FourStar"
"57984.9714	EFOSC2_V	1.0449458145168282e-16	1.0586737284169786e-17	KN_Filters_clean	EFOSC2"
"57984.9746503	DECam_Y	1.0519841673305853e-16	3.1336429054832094e-18	KN_Filters_clean	DECam"
"57984.975	Sinistro_i	1.0108720981833845e-16	1.396571414518747e-17	KN_Filters_clean	Sinistro"
"57984.97569	DECam_z	9.141864078273732e-17	2.5210314689633454e-18	KN_Filters_clean	DECam"
"57984.976389	DECam_i	1.1410432033839459e-16	3.309528137200558e-18	KN_Filters_clean	DECam"
"57984.97707919999	DECam_r	1.032962834312861e-16	3.2167786626043086e-18	KN_Filters_clean	DECam"
"57984.9777679	DECam_g	7.686453681697165e-17	3.534014064876444e-18	KN_Filters_clean	DECam"
"57984.978	Sinistro_i	1.1606364603990518e-16	1.0689856848404606e-17	KN_Filters_clean	Sinistro"
"57984.98001819999	DECam_u	1.6801448655593676e-17	2.466332357303984e-18	KN_Filters_clean	DECam"
"57984.9801	FourStar_J1	1.1650939736871284e-16	1.0730912062998325e-18	KN_Filters_clean	FourStar"
"57984.982	Sinistro_z	9.958611385722791e-17	1.834444009894236e-17	KN_Filters_clean	Sinistro"
"57984.988	Sinistro_w	1.07469387396886e-16	6.9288074624555764e-18	KN_Filters_clean	Sinistro"
"57984.992	Sinistro_w	1.1568705706291954e-16	7.458620205274968e-18	KN_Filters_clean	Sinistro"
"57985.002	Sinistro_i	1.1606364603990518e-16	1.0689856848404606e-17	KN_Filters_clean	Sinistro"
"57985.006	Sinistro_i	1.1713756973440349e-16	1.1867645763596872e-17	KN_Filters_clean	Sinistro"
"57985.016	Sinistro_w	1.1783784003360624e-16	6.511959692445399e-18	KN_Filters_clean	Sinistro"
"57985.0164	EFOSC2_V	9.270299616026214e-17	1.0245913777656204e-17	KN_Filters_clean	EFOSC2"
"57985.017	Sinistro_g	8.30453770074738e-17	2.5240914222374908e-17	KN_Filters_clean	Sinistro"
"57985.019	Sinistro_w	1.2920662227751753e-16	5.950184847443408e-18	KN_Filters_clean	Sinistro"
"57985.0537	EFOSC2_V	8.771901993685428e-17	1.615844061434146e-17	KN_Filters_clean	EFOSC2"
"57985.357	Sinistro_r	8.213848786513685e-17	6.808710877890481e-18	KN_Filters_clean	Sinistro"
"57985.364	Sinistro_i	1.0881686491233544e-16	1.3029124732728987e-17	KN_Filters_clean	Sinistro"
"57985.367	Sinistro_i	1.0016043670809278e-16	1.291516399435946e-17	KN_Filters_clean	Sinistro"
"57985.377	Sinistro_w	9.622430285043906e-17	4.431292906547663e-18	KN_Filters_clean	Sinistro"
"57985.381	Sinistro_w	1.0263246818840067e-16	4.726399826146816e-18	KN_Filters_clean	Sinistro"
"57985.38399306	skymapper_r	8.321798780517014e-17	6.131727942056978e-18	KN_Filters_clean	skymapper"
"57985.38539352	skymapper_g	4.944872117535137e-17	5.0098350828148166e-18	KN_Filters_clean	skymapper"
"57985.391	Sinistro_i	9.304567898697482e-17	1.5425682724978837e-17	KN_Filters_clean	Sinistro"
"57985.395	Sinistro_i	9.924216030479403e-17	1.371081113486993e-17	KN_Filters_clean	Sinistro"
"57985.39703704	skymapper_r	8.095006660577087e-17	6.710198999158375e-18	KN_Filters_clean	skymapper"
"57985.3984375	skymapper_g	6.055570498424536e-17	6.6928638524329064e-18	KN_Filters_clean	skymapper"
"57985.405	Sinistro_w	1.1048028179377195e-16	7.122926997984195e-18	KN_Filters_clean	Sinistro"
"57985.408	Sinistro_w	1.07469387396886e-16	7.918637099952973e-18	KN_Filters_clean	Sinistro"
"57985.726	Sinistro_r	5.735175384930831e-17	6.338750086583793e-18	KN_Filters_clean	Sinistro"
"57985.733	Sinistro_i	8.1789246923334e-17	1.5066136058682698e-17	KN_Filters_clean	Sinistro"
"57985.736	Sinistro_i	8.804327916195455e-17	1.2163628528202779e-17	KN_Filters_clean	Sinistro"
"57985.74	Sinistro_z	8.05747163370011e-17	2.5232099136499248e-17	KN_Filters_clean	Sinistro"
