MJD	ACS_WFC_F475W	ACS_WFC_F475W_err	ACS_WFC_F625W	ACS_WFC_F625W_err	ACS_WFC_F775W	ACS_WFC_F775W_err	ACS_WFC_F850W	ACS_WFC_F850W_err	DECam_Y	DECam_Y_err	DECam_g	DECam_g_err	DECam_i	DECam_i_err	DECam_r	DECam_r_err	DECam_u	DECam_u_err	DECam_z	DECam_z_err	EFOSC2_U	EFOSC2_U_err	EFOSC2_V	EFOSC2_V_err	FourStar_H	FourStar_H_err	FourStar_J	FourStar_J_err	FourStar_J1	FourStar_J1_err	FourStar_Ks	FourStar_Ks_err	LRIS_I	LRIS_I_err	RetroCam_H	RetroCam_H_err	RetroCam_J	RetroCam_J_err	RetroCam_Y	RetroCam_Y_err	SOFI_H	SOFI_H_err	SOFI_Ks	SOFI_Ks_err	Sinistro_g	Sinistro_g_err	Sinistro_i	Sinistro_i_err	Sinistro_r	Sinistro_r_err	Sinistro_w	Sinistro_w_err	Sinistro_z	Sinistro_z_err	Swope_B	Swope_B_err	Swope_V	Swope_V_err	Swope_g	Swope_g_err	Swope_i	Swope_i_err	Swope_r	Swope_r_err	UVOT_U	UVOT_U_err	WFC3_IR_F110W	WFC3_IR_F110W_err	WFC3_IR_F160W	WFC3_IR_F160W_err	WFC3_UVIS1_F336W	WFC3_UVIS1_F336W_err
57982.67000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.396194000225591e-17	1.022165655782992e-18	nan	nan	nan	nan	2.004187472888935e-17	6.203718717886094e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.777496661830336e-17	2.917568910470248e-18	nan	nan	1.8968271446384232e-17	1.4992623437072176e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.771504526902707e-17	1.0993426322947366e-18	nan	nan	6.174767057494819e-17	2.960454656604312e-18	nan	nan	nan	nan	nan	nan
57982.68000000002	nan	nan	nan	nan	nan	nan	nan	nan	1.907996411358165e-18	1.842650428522538e-19	3.796064173805194e-18	3.729771731774374e-19	3.7972760805258254e-17	1.1001575041609738e-18	3.0726771781393747e-18	2.99312267785719e-19	1.6958202119953182e-18	1.6548687967783217e-19	2.2409158783913544e-17	6.677384332565572e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.3432795104576215e-17	3.2767452961404762e-18	nan	nan	2.1811959003268926e-17	1.6838196426537346e-18	nan	nan	nan	nan	nan	nan	3.618907164078053e-18	3.564703828475427e-19	nan	nan	4.2045637933654987e-17	1.1709188381907457e-18	nan	nan	6.926182646712723e-17	3.178559009086666e-18	nan	nan	nan	nan	nan	nan
57982.690000000024	nan	nan	nan	nan	nan	nan	nan	nan	2.2280437196107944e-18	2.456973135142994e-19	4.429366613935653e-18	5.059290181306089e-19	4.2097050877735464e-17	1.17533182189366e-18	3.586337076112593e-18	4.025588458632507e-19	1.9788382842555025e-18	2.228325444671794e-19	2.4844611086843442e-17	7.134898733033751e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.925956518624743e-17	3.59664789297123e-18	nan	nan	2.4753546273893803e-17	1.848216085544717e-18	nan	nan	nan	nan	nan	nan	4.194687814276075e-18	4.7946632999722e-19	nan	nan	4.654455512106299e-17	1.240420227999117e-18	nan	nan	7.705570610318835e-17	3.384929566482287e-18	nan	nan	nan	nan	nan	nan
57982.700000000026	nan	nan	nan	nan	nan	nan	nan	nan	2.5526355972188734e-18	3.165164714710158e-19	5.0716895392597725e-18	6.565361860009103e-19	4.633213795359055e-17	1.2480449416006778e-18	4.107297555809702e-18	5.205284674132709e-19	2.265940494877982e-18	2.8827735729960354e-19	2.734679039758587e-17	7.57861722992312e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.527426833692465e-17	3.879889540091562e-18	nan	nan	2.7804803682554526e-17	1.9937932927679757e-18	nan	nan	nan	nan	nan	nan	4.779085718055161e-18	6.203716200233469e-19	nan	nan	5.1207707426542213e-17	1.3081850987725087e-18	nan	nan	8.514814433031048e-17	3.5841526750097015e-18	nan	nan	nan	nan	nan	nan
57982.71000000003	nan	nan	nan	nan	nan	nan	nan	nan	2.8823471820183855e-18	3.8633035018848894e-19	5.7241853117985034e-18	8.035542351082398e-19	5.067460213898532e-17	1.3186564362027839e-18	4.6364852494176025e-18	6.362424815962107e-19	2.5576684643640944e-18	3.524277807416246e-19	2.991382025596582e-17	8.010911972250332e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.149590726188283e-17	4.131086819115654e-18	nan	nan	3.097750821153739e-17	2.122922951822125e-18	nan	nan	nan	nan	nan	nan	5.37336045181603e-18	7.590238782235438e-19	nan	nan	5.602990812675471e-17	1.3745320725993618e-18	nan	nan	9.353829830378275e-17	3.777909451440888e-18	nan	nan	nan	nan	nan	nan
57982.72000000003	nan	nan	nan	nan	nan	nan	nan	nan	3.217753916732583e-18	4.515692047900989e-19	6.3880068993811974e-18	9.399745482256761e-19	5.512102994105062e-17	1.3876102460498802e-18	5.1748272790609345e-18	7.439868780732345e-19	2.854564088725031e-18	4.1213122854454864e-19	3.2543828068263264e-17	8.434691752442988e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.794349703281372e-17	4.356221221364914e-18	nan	nan	3.4283444104932756e-17	2.2386777259259735e-18	nan	nan	nan	nan	nan	nan	5.978772180269055e-18	8.88587326016521e-19	nan	nan	6.100544048218195e-17	1.4398028221987876e-18	nan	nan	1.0222041909593838e-16	3.967319955499598e-18	nan	nan	nan	nan	nan	nan
57982.73000000003	nan	nan	nan	nan	nan	nan	nan	nan	3.559431583198791e-18	5.108890112384436e-19	7.06430794422862e-18	1.063229711945457e-18	5.966749917926405e-17	1.4553671432382184e-18	5.723251311952382e-18	8.41639824607588e-19	3.1571695717266885e-18	4.662192205609347e-19	3.5234644701716294e-17	8.852971859808197e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.463606622317402e-17	4.5622505863850365e-18	nan	nan	3.773440357284402e-17	2.3446309230578474e-18	nan	nan	nan	nan	nan	nan	6.5965817315105865e-18	1.0064843416090162e-18	nan	nan	6.612643884456586e-17	1.5041787274672308e-18	nan	nan	1.1118877521297983e-16	4.153760940836416e-18	nan	nan	nan	nan	nan	nan
57982.740000000034	nan	nan	nan	nan	nan	nan	nan	nan	3.907956336616197e-18	5.637841547591551e-19	7.754242831589198e-18	1.172394735826555e-18	6.430803410049137e-17	1.5222296011345254e-18	6.282685615570033e-18	9.284198142692034e-19	3.4660274571607147e-18	5.142626651752354e-19	3.79829034761209e-17	9.267756702396417e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.159265804403407e-17	4.756775232086448e-18	nan	nan	4.134218749597652e-17	2.4446843519063608e-18	nan	nan	nan	nan	nan	nan	7.228050672126223e-18	1.111722590802374e-18	nan	nan	7.138450672571975e-17	1.5678581016576432e-18	nan	nan	1.2043765224333722e-16	4.3388572737631596e-18	nan	nan	nan	nan	nan	nan
57982.75000000004	nan	nan	nan	nan	nan	nan	nan	nan	4.263904739807121e-18	6.101267692684949e-19	8.458966758386967e-18	1.2672820835556072e-18	6.903594032800915e-17	1.588465569181551e-18	6.854059112857207e-18	1.0041480517985788e-18	3.7816806611217345e-18	5.56164881037347e-19	4.078482488912367e-17	9.680826461868422e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.882913790435702e-17	4.946356985396607e-18	nan	nan	4.511713904939639e-17	2.5422052406175684e-18	nan	nan	nan	nan	nan	nan	7.874441382330849e-18	1.2040167685527884e-18	nan	nan	7.677089824343906e-17	1.6310751302952717e-18	nan	nan	1.299601208520484e-16	4.524142520885801e-18	nan	nan	nan	nan	nan	nan
57982.76000000004	nan	nan	nan	nan	nan	nan	nan	nan	4.627853797495721e-18	6.499925180431951e-19	9.17963580190291e-18	1.3481050490406822e-18	7.384369133106339e-17	1.6542572732321093e-18	7.438301437459177e-18	1.0689718413537827e-18	4.10467250430465e-18	5.920091499158465e-19	4.363616883783208e-17	1.0093408035389086e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.63486135893175e-17	5.1322998638925394e-18	nan	nan	4.9063743058917474e-17	2.63786111765467e-18	nan	nan	nan	nan	nan	nan	8.537017131142464e-18	1.2834578186530956e-18	nan	nan	8.22754449115606e-17	1.6939792419489342e-18	nan	nan	1.3974434137856738e-16	4.710122486248763e-18	nan	nan	nan	nan	nan	nan
