MKO K band

at 20� C and 0� AOI

MKO K band 2150/320	
MAN320A			
65mm diameter part	
DELIVERED PC AT ROOM TEMP WITH 77K SHIFT�
298K	calc @77K
peak T%	97.27055	97.50955	
Cut-on:	1990.5	1988.4	
Cut-off:	2309	2306.3	
LP Slope	1.27%	1.27%	
SP Slope	1.16%	1.18%	
slope defined from 90% to 10%	
wl(nm)	T%		
1829.5	0.008885		
1829	0.007792		
1828.5	0.011653		
1828	0.008652		
1827.5	0.012875		
1827	0.007491		
1826.5	0.009957		
1826	0.011168		
1825.5	0.010269		
1825	0.009672		
1824.5	0.009514		
1824	0.013039		
1823.5	0.011338		
1823	0.006904		
1822.5	0.011288		
1822	0.007392		
1821.5	0.011257		
1821	0.006152		
1820.5	0.010315		
1820	0.010331		
1819.5	0.009896		
1819	0.008924		
1818.5	0.011251		
1818	0.00494		
1817.5	0.007787		
1817	0.010066		
1816.5	0.012781		
1816	0.007279		
1815.5	0.007725		
1815	0.012951		
1814.5	0.007229		
1814	0.01062		
1813.5	0.011786		
1813	0.012016		
1812.5	0.006729		
1812	0.010686		
1811.5	0.004702		
1811	0.0059		
1810.5	0.003615		
1810	0.007037		
1809.5	0.007398		
1809	0.010663		
1808.5	0.007744		
1808	0.005455		
1807.5	0.004568		
1807	0.009124		
1806.5	0.010411		
1806	0.00814		
1805.5	0.01167		
1805	0.008852		
1804.5	0.014209		
1804	0.011268		
1803.5	0.007897		
1803	0.011175		
1802.5	0.011869		
1802	0.011314		
1801.5	0.005926		
1801	0.010826		
1800.5	0.008721		
1800	0.008304		
1799.5	0.009366		
1799	0.00776		
1798.5	0.006697		
1798	0.005461		
1797.5	0.009456		
1797	0.010322		
1796.5	0.008123		
1796	0.007722		
1795.5	0.011648		
1795	0.004651		
1794.5	0.015433		
1794	0.011516		
1793.5	0.008567		
1793	0.010761		
1792.5	0.009898		
1792	0.009801		
1791.5	0.00818		
1791	0.005792		
1790.5	0.006101		
1790	0.009768		
1789.5	0.007365		
1789	0.002839		
1788.5	0.008546		
1788	0.010689		
1787.5	0.006441		
1787	0.007571		
1786.5	0.013304		
1786	0.010058		
1785.5	0.008084		
1785	0.010711		
1784.5	0.013731		
1784	0.008908		
1783.5	0.007609		
1783	0.009769		
1782.5	0.009803		
1782	0.007613		
1781.5	0.010672		
1781	0.011974		
1780.5	0.008129		
1780	0.007143		
1779.5	0.009821		
1779	0.009366		
1778.5	0.001193		
1778	0.0107		
1777.5	0.015423		
1777	0.007636		
1776.5	0.011443		
1776	0.008094		
1775.5	0.005052		
1775	0.009366		
1774.5	0.011478		
1774	0.009434		
1773.5	0.01157		
1773	0.010206		
1772.5	0.013912		
1772	0.007465		
1771.5	0.010386		
1771	0.009335		
1770.5	0.004496		
1770	0.010239		
1769.5	0.00295		
1769	0.008401		
1768.5	0.01002		
1768	0.006803		
1767.5	0.011705		
1767	0.008		
1766.5	0.010038		
1766	0.011998		
1765.5	0.009982		
1765	0.009724		
1764.5	0.007921		
1764	0.008099		
1763.5	0.011171		
1763	0.011877		
1762.5	0.008094		
1762	0.012501		
1761.5	0.012544		
1761	0.009818		
1760.5	0.011728		
1760	0.00468		
1759.5	0.014287		
1759	0.009007		
1758.5	0.007272		
1758	0.009934		
1757.5	0.009996		
1757	0.009042		
1756.5	0.013834		
1756	0.00865		
1755.5	0.008625		
1755	0.01175		
1754.5	0.011708		
1754	0.010353		
1753.5	0.005581		
1753	0.01699		
1752.5	0.007758		
1752	0.012141		
1751.5	0.009453		
1751	0.008251		
1750.5	0.008658		
1750	0.010369		
1749.5	0.00692		
1749	0.005054		
1748.5	0.013754		
1748	0.00726		
1747.5	0.003787		
1747	0.006906		
1746.5	0.010387		
1746	0.006419		
1745.5	0.008336		
1745	0.007067		
1744.5	0.006948		
1744	0.007211		
1743.5	0.009701		
1743	0.012035		
1742.5	0.013494		
1742	0.010612		
1741.5	0.011359		
1741	0.010299		
1740.5	0.009532		
1740	0.011019		
1739.5	0.006606		
1739	0.006861		
1738.5	0.003421		
1738	0.009288		
1737.5	0.012479		
1737	0.010365		
1736.5	0.010336		
1736	0.005942		
1735.5	0.009933		
1735	0.004986		
1734.5	0.008389		
1734	0.014073		
1733.5	0.006331		
1733	0.010302		
1732.5	0.009034		
1732	0.007581		
1731.5	0.012499		
1731	0.013786		
1730.5	0.009407		
1730	0.007202		
1729.5	0.0154		
1729	0.008534		
1728.5	0.00595		
1728	0.010286		
1727.5	0.010788		
1727	0.009785		
1726.5	0.013796		
1726	0.004648		
1725.5	0.009861		
1725	0.005947		
1724.5	0.008929		
1724	0.010785		
1723.5	0.011194		
1723	0.006808		
1722.5	0.009074		
1722	0.008867		
1721.5	0.010364		
1721	0.012834		
1720.5	0.007672		
1720	0.006841		
1719.5	0.009248		
1719	0.011854		
1718.5	0.010517		
1718	0.008123		
1717.5	0.010118		
1717	0.009882		
1716.5	0.013538		
1716	0.007993		
1715.5	0.009244		
1715	0.011688		
1714.5	0.01315		
1714	0.014656		
1713.5	0.012278		
1713	0.015517		
1712.5	0.016186		
1712	0.011148		
1711.5	0.001863		
1711	0.008533		
1710.5	0.008309		
1710	0.007295		
1709.5	0.006917		
1709	0.013056		
1708.5	0.00952		
1708	0.012552		
1707.5	0.006445		
1707	0.011193		
1706.5	0.009128		
1706	0.009978		
1705.5	0.010833		
1705	0.014429		
1704.5	0.014848		
1704	0.00732		
1703.5	0.01088		
1703	0.009992		
1702.5	0.000277		
1702	0.009479		
1701.5	0.009541		
1701	0.011301		
1700.5	0.015228		
1700	0.006868	
