MKO K band

at 20� C and 0� AOI

MKO K band 2150/320	
MAN320A			
65mm diameter part	
DELIVERED PC AT ROOM TEMP WITH 77K SHIFT�
298K	calc @77K
peak T%	97.27055	97.50955	
Cut-on:	1990.5	1988.4	
Cut-off:	2309	2306.3	
LP Slope	1.27%	1.27%	
SP Slope	1.16%	1.18%	
slope defined from 90% to 10%	
wl(nm)	T%		
2350	0.485036		
2349.5	0.510578		
2349	0.527345		
2348.5	0.55344		
2348	0.579955		
2347.5	0.607246		
2347	0.641036		
2346.5	0.665741		
2346	0.695789		
2345.5	0.731706		
2345	0.760207		
2344.5	0.800371		
2344	0.840879		
2343.5	0.884177		
2343	0.927858		
2342.5	0.977293		
2342	1.020036		
2341.5	1.073617		
2341	1.136297		
2340.5	1.199906		
2340	1.257716		
2339.5	1.324306		
2339	1.395316		
2338.5	1.461473		
2338	1.554125		
2337.5	1.644052		
2337	1.732989		
2336.5	1.829832		
2336	1.923702		
2335.5	2.033294		
2335	2.159329		
2334.5	2.296793		
2334	2.434028		
2333.5	2.575611		
2333	2.713345		
2332.5	2.868693		
2332	3.042104		
2331.5	3.260477		
2331	3.469443		
2330.5	3.672841		
2330	3.898189		
2329.5	4.132052		
2329	4.400323		
2328.5	4.684752		
2328	5.023007		
2327.5	5.350956		
2327	5.688085		
2326.5	6.040656		
2326	6.41953		
2325.5	6.894509		
2325	7.351937		
2324.5	7.868291		
2324	8.395629		
2323.5	8.913115		
2323	9.477455		
2322.5	10.11884		
2322	10.89262		
2321.5	11.64203		
2321	12.41655		
2320.5	13.22486		
2320	14.08569		
2319.5	14.99923		
2319	16.04556		
2318.5	17.19767		
2318	18.33468		
2317.5	19.45895		
2317	20.64769		
2316.5	21.91565		
2316	23.38886		
2315.5	24.96376		
2315	26.49396		
2314.5	27.97036		
2314	29.5162		
2313.5	31.22461		
2313	32.95721		
2312.5	34.98675		
2312	36.93739		
2311.5	38.70258		
2311	40.50826		
2310.5	42.40694		
2310	44.46259		
2309.5	46.48463		
2309	48.69665		
2308.5	50.78256		
2308	52.5985		
2307.5	54.50135		
2307	56.48069		
2306.5	58.65705		
2306	60.51038		
2305.5	62.49469		
2305	64.27529		
2304.5	65.9273		
2304	67.71352		
2303.5	69.29872		
2303	71.14996		
2302.5	72.66344		
2302	74.16402		
2301.5	75.49713		
2301	76.87161		
2300.5	78.16261		
2300	79.43587		
2299.5	80.73221		
2299	81.82072		
2298.5	82.84232		
2298	83.83531		
2297.5	84.71674		
2297	85.68736		
2296.5	86.5956		
2296	87.38001		
2295.5	88.05865		
2295	88.73772		
2294.5	89.41971		
2294	89.97565		
2293.5	90.6435		
2293	91.19415		
2292.5	91.64697		
2292	92.09572		
2291.5	92.51635		
2291	92.87167		
2290.5	93.2826		
2290	93.61143		
2289.5	93.87035		
2289	94.14577		
2288.5	94.42436		
2288	94.58365		
2287.5	94.79794		
2287	94.96953		
2286.5	95.12003		
2286	95.23711		
2285.5	95.40316		
2285	95.42812		
2284.5	95.46709		
2284	95.5371		
2283.5	95.62872		
2283	95.62116		
2282.5	95.59523		
2282	95.56978		
2281.5	95.61117		
2281	95.61783		
2280.5	95.57551		
2280	95.42425		
2279.5	95.44671		
2279	95.39004		
2278.5	95.29837		
2278	95.26646		
2277.5	95.13692		
2277	95.07825		
2276.5	95.10821		
2276	95.00436		
2275.5	94.85042		
2275	94.7751		
2274.5	94.69663		
2274	94.61298		
2273.5	94.54249		
2273	94.50267		
2272.5	94.40678		
2272	94.36024		
2271.5	94.31101		
2271	94.23183		
2270.5	94.17194		
2270	94.15435		
2269.5	94.1314		
2269	94.03407		
2268.5	94.02534		
2268	93.98094		
2267.5	93.99626		
2267	94.00632		
2266.5	93.92161		
2266	93.93361		
2265.5	94.00925		
2265	93.96037		
2264.5	93.9866		
2264	93.99717		
2263.5	94.00694		
2263	94.09487		
2262.5	94.10178		
2262	94.0862		
2261.5	94.14715		
2261	94.2411		
2260.5	94.28304		
2260	94.33549		
2259.5	94.31256		
2259	94.40363		
2258.5	94.47028		
2258	94.56998		
2257.5	94.60947		
2257	94.61888		
2256.5	94.74564		
2256	94.82167		
2255.5	94.79505		
2255	94.93111		
2254.5	94.95734		
2254	95.02287		
2253.5	95.11156		
2253	95.15372		
2252.5	95.17442		
2252	95.3241		
2251.5	95.38436		
2251	95.38821		
2250.5	95.4624		
2250	95.49259		
2249.5	95.57912		
2249	95.65786		
2248.5	95.65965		
2248	95.74679		
2247.5	95.79861		
2247	95.87653		
2246.5	95.84892		
2246	95.92422		
2245.5	95.92524		
2245	96.00759		
2244.5	96.04981		
2244	96.04534		
2243.5	96.07542		
2243	96.12309		
2242.5	96.17731		
2242	96.17363		
2241.5	96.17006		
2241	96.25728		
2240.5	96.28403		
2240	96.29701		
2239.5	96.28679		
2239	96.29716		
2238.5	96.35079		
2238	96.38668		
2237.5	96.32777		
2237	96.32621		
2236.5	96.38132		
2236	96.38422		
2235.5	96.4069		
2235	96.3839		
2234.5	96.36705		
2234	96.41479		
2233.5	96.38892		
2233	96.40705		
2232.5	96.43578		
2232	96.40484		
2231.5	96.43484		
2231	96.43072		
2230.5	96.39579		
2230	96.41193		
2229.5	96.39816		
2229	96.35918		
2228.5	96.39771		
2228	96.31216		
2227.5	96.36051		
2227	96.4387		
2226.5	96.26569		
2226	96.32453		
2225.5	96.32213		
2225	96.31758		
2224.5	96.31256		
2224	96.26431		
2223.5	96.22832		
2223	96.27095		
2222.5	96.23215		
2222	96.20892		
2221.5	96.18805		
2221	96.12115		
2220.5	96.13523		
2220	96.13145		
2219.5	96.07906		
2219	96.05709		
2218.5	96.07497		
2218	96.07581		
2217.5	96.05564		
2217	95.98469		
2216.5	95.95083		
2216	95.98398		
2215.5	95.95837		
2215	95.90673		
2214.5	95.86758		
2214	95.82234		
2213.5	95.8681		
2213	95.8342		
2212.5	95.77418		
2212	95.74394		
2211.5	95.76115		
2211	95.80624		
2210.5	95.76391		
2210	95.67071		
2209.5	95.71911		
2209	95.73418		
2208.5	95.71625		
2208	95.63849		
2207.5	95.61433		
2207	95.6711		
2206.5	95.63074		
2206	95.57842		
2205.5	95.63766		
2205	95.62845		
2204.5	95.65074		
2204	95.65266		
2203.5	95.6627		
2203	95.66933		
2202.5	95.7252		
2202	95.70916		
2201.5	95.69882		
2201	95.69334		
2200.5	95.71619		
2200	95.78556		
2199.5	95.78473		
2199	95.771		
2198.5	95.79534		
2198	95.87999		
2197.5	95.90286		
2197	95.92529		
2196.5	95.93586		
2196	95.94781		
2195.5	96.06872		
2195	96.04069		
2194.5	96.03725		
2194	96.09926		
2193.5	96.15807		
2193	96.19009		
2192.5	96.20038		
2192	96.2364		
2191.5	96.32787		
2191	96.31319		
2190.5	96.39312		
2190	96.36299		
2189.5	96.46284		
2189	96.47492		
2188.5	96.55793		
2188	96.56597		
2187.5	96.61784		
2187	96.65196		
2186.5	96.73251		
2186	96.71702		
2185.5	96.71198		
2185	96.76308		
2184.5	96.89526		
2184	96.8222		
2183.5	96.90062		
2183	96.91217		
2182.5	96.96401		
2182	97.064		
2181.5	97.08723		
2181	96.99776		
2180.5	97.08779		
2180	97.07917		
2179.5	97.12085		
2179	97.16393		
2178.5	97.12238		
2178	97.15829		
2177.5	97.24393		
2177	97.21447		
2176.5	97.18839		
2176	97.20641		
2175.5	97.27055		
2175	97.23924		
2174.5	97.19778		
2174	97.19387		
2173.5	97.25423		
2173	97.22686		
2172.5	97.21333		
2172	97.1661		
2171.5	97.16531		
2171	97.24087		
2170.5	97.14911		
2170	97.10371		
2169.5	97.09308		
2169	97.11394		
2168.5	97.08		
2168	97.08443		
2167.5	97.05255		
2167	96.98431		
2166.5	97.01952		
2166	97.01077		
2165.5	96.95488		
2165	96.92372		
2164.5	96.91299		
2164	96.85963		
2163.5	96.87202		
2163	96.81068		
2162.5	96.7676		
2162	96.82346		
2161.5	96.75529		
2161	96.7388		
2160.5	96.67945		
2160	96.66481		
2159.5	96.65562		
2159	96.66352		
2158.5	96.62178		
2158	96.59303		
2157.5	96.61981		
2157	96.62547		
2156.5	96.59132		
2156	96.55896		
2155.5	96.59627		
2155	96.55818		
2154.5	96.53665		
2154	96.56703		
2153.5	96.52564		
2153	96.54837		
2152.5	96.5519		
2152	96.49892		
2151.5	96.53458		
2151	96.56752		
2150.5	96.54733		
2150	96.56398		
2149.5	96.56657		
2149	96.57417		
2148.5	96.58521		
2148	96.62634		
2147.5	96.60316		
2147	96.59961		
2146.5	96.6613		
2146	96.66003		
2145.5	96.63861		
2145	96.68237		
2144.5	96.67471		
2144	96.65497		
2143.5	96.74464		
2143	96.73393		
2142.5	96.68739		
2142	96.70613		
2141.5	96.75379		
2141	96.71741		
2140.5	96.75378		
2140	96.73692		
2139.5	96.71544		
2139	96.77542		
2138.5	96.72836		
2138	96.66105		
2137.5	96.69509		
2137	96.70267		
2136.5	96.67034		
2136	96.66185		
2135.5	96.63787		
2135	96.61953		
2134.5	96.66697		
2134	96.58763		
2133.5	96.55071		
2133	96.57396		
2132.5	96.5843		
2132	96.49976		
2131.5	96.45203		
2131	96.54049		
2130.5	96.48059		
2130	96.37366		
2129.5	96.38058		
2129	96.42712		
2128.5	96.37141		
2128	96.34916		
2127.5	96.3138		
2127	96.32847		
2126.5	96.34847		
2126	96.26088		
2125.5	96.22781		
2125	96.28004		
2124.5	96.2141		
2124	96.17336		
2123.5	96.22914		
2123	96.20592		
2122.5	96.20464		
2122	96.22861		
2121.5	96.18691		
2121	96.18248		
2120.5	96.23856		
2120	96.25283		
2119.5	96.20845		
2119	96.22321		
2118.5	96.26476		
2118	96.27287		
2117.5	96.27352		
2117	96.31186		
2116.5	96.28575		
2116	96.33971		
2115.5	96.38515		
2115	96.35266		
2114.5	96.36037		
2114	96.45654		
2113.5	96.43142		
2113	96.45153		
2112.5	96.48987		
2112	96.43616		
2111.5	96.55243		
2111	96.53219		
2110.5	96.44035		
2110	96.49627		
2109.5	96.51833		
2109	96.4669		
2108.5	96.46116		
2108	96.37295		
2107.5	96.39732		
2107	96.38786		
2106.5	96.36845		
2106	96.30396		
2105.5	96.16383		
2105	96.17239		
2104.5	96.11126		
2104	95.98515		
2103.5	95.91608		
2103	95.76556		
2102.5	95.67599		
2102	95.6523		
2101.5	95.45135		
2101	95.26764		
2100.5	95.27077		
2100	95.10855		
2099.5	94.88879		
2099	94.77975		
2098.5	94.61066		
2098	94.45838		
2097.5	94.28438		
2097	94.13565		
2096.5	93.90131		
2096	93.78456		
2095.5	93.58813		
2095	93.39754		
2094.5	93.19021		
2094	93.02024		
2093.5	92.84943		
2093	92.66773		
2092.5	92.47026		
2092	92.27068		
2091.5	92.12736		
2091	92.0252		
2090.5	91.77528		
2090	91.60566		
2089.5	91.52289		
2089	91.364		
2088.5	91.22554		
2088	91.06529		
2087.5	90.87509		
2087	90.84084		
2086.5	90.77965		
2086	90.6079		
2085.5	90.52376		
2085	90.50211		
2084.5	90.42881		
2084	90.38504		
2083.5	90.30407		
2083	90.24905		
2082.5	90.25739		
2082	90.27949		
2081.5	90.26167		
2081	90.21905		
2080.5	90.29109		
2080	90.36427		
2079.5	90.38963		
2079	90.42918		
2078.5	90.52866		
2078	90.57629		
2077.5	90.71597		
2077	90.80047		
2076.5	90.82256		
2076	91.00068		
2075.5	91.15725		
2075	91.23953		
2074.5	91.35586		
2074	91.49874		
2073.5	91.63532		
2073	91.7919		
2072.5	91.9239		
2072	92.06198		
2071.5	92.23031		
2071	92.41409		
2070.5	92.54341		
2070	92.66992		
2069.5	92.84958		
2069	93.01936		
2068.5	93.1834		
2068	93.33719		
2067.5	93.39162		
2067	93.52966		
2066.5	93.73235		
2066	93.84448		
2065.5	93.88129		
2065	94.05312		
2064.5	94.15575		
2064	94.25681		
2063.5	94.36663		
2063	94.40949		
2062.5	94.46838		
2062	94.61678		
2061.5	94.60119		
2061	94.69832		
2060.5	94.78112		
2060	94.79367		
2059.5	94.88941		
2059	94.95644		
2058.5	94.92229		
2058	94.98231		
2057.5	95.00624		
2057	94.99875		
2056.5	95.02985		
2056	95.05821		
2055.5	95.04678		
2055	95.05432		
2054.5	95.08568		
2054	95.08519		
2053.5	95.11032		
2053	95.14875		
2052.5	95.2034		
2052	95.15337		
2051.5	95.18169		
2051	95.25111		
2050.5	95.23243		
2050	95.25183		
2049.5	95.31412		
2049	95.32393		
2048.5	95.40018		
2048	95.42477		
2047.5	95.49366		
2047	95.50396		
2046.5	95.61528		
2046	95.64005		
2045.5	95.68768		
2045	95.74673		
2044.5	95.79913		
2044	95.92543		
2043.5	95.93781		
2043	96.02592		
2042.5	96.08499		
2042	96.17123		
2041.5	96.23487		
2041	96.26884		
2040.5	96.3388		
2040	96.3888		
2039.5	96.36181		
2039	96.46376		
2038.5	96.51534		
2038	96.52706		
2037.5	96.51644		
2037	96.52721		
2036.5	96.53814		
2036	96.57973		
2035.5	96.51878		
2035	96.42186		
2034.5	96.41662		
2034	96.3943		
2033.5	96.30547		
2033	96.22409		
2032.5	96.10137		
2032	96.01625		
2031.5	95.96465		
2031	95.76333		
2030.5	95.55933		
2030	95.43616		
2029.5	95.34599		
2029	95.07459		
2028.5	94.8355		
2028	94.69915		
2027.5	94.47575		
2027	94.18573		
2026.5	94.00862		
2026	93.76303		
2025.5	93.50303		
2025	93.19715		
2024.5	92.91063		
2024	92.68742		
2023.5	92.44505		
2023	92.13441		
2022.5	91.90932		
2022	91.66041		
2021.5	91.34359		
2021	91.10191		
2020.5	90.91545		
2020	90.67267		
2019.5	90.46443		
2019	90.23948		
2018.5	90.0486		
2018	89.93709		
2017.5	89.75574		
2017	89.63045		
2016.5	89.57058		
2016	89.48569		
2015.5	89.44231		
2015	89.39249		
2014.5	89.38868		
2014	89.45153		
2013.5	89.51028		
2013	89.56904		
2012.5	89.6993		
2012	89.85452		
2011.5	90.03752		
2011	90.23248		
2010.5	90.41101		
2010	90.65955		
2009.5	90.91529		
2009	91.21255		
2008.5	91.5164		
2008	91.74173		
2007.5	91.99032		
2007	92.28453		
2006.5	92.49747		
2006	92.71135		
2005.5	92.88748		
2005	92.99037		
2004.5	93.1277		
2004	93.06163		
2003.5	92.91487		
2003	92.73198		
2002.5	92.42248		
2002	91.95675		
2001.5	91.39549		
2001	90.65782		
2000.5	89.86889		
2000	88.79077		
1999.5	87.50626		
1999	86.22135		
1998.5	84.67063		
1998	83.11576		
1997.5	81.3176		
1997	79.49963		
1996.5	77.12207		
1996	74.87293		
1995.5	72.72115		
1995	70.40189		
1994.5	68.12154		
1994	65.64539		
1993.5	63.17122		
1993	60.42045		
1992.5	57.95485		
1992	55.60477		
1991.5	53.28582		
1991	51.08232		
1990.5	48.62832		
1990	46.29329		
1989.5	44.04168		
1989	42.00173		
1988.5	40.11888		
1988	38.31168		
1987.5	36.43683		
1987	34.51952		
1986.5	32.84758		
1986	31.33904		
1985.5	29.87902		
1985	28.5037		
1984.5	27.17817		
1984	25.81277		
1983.5	24.53442		
1983	23.37409		
1982.5	22.30135		
1982	21.30424		
1981.5	20.3959		
1981	19.33627		
1980.5	18.34348		
1980	17.48883		
1979.5	16.68634		
1979	15.90033		
1978.5	15.12842		
1978	14.41836		
1977.5	13.59321		
1977	12.88485		
1976.5	12.23352		
1976	11.60951		
1975.5	11.00442		
1975	10.3702		
1974.5	9.77007		
1974	9.132697		
1973.5	8.570482		
1973	8.078812		
1972.5	7.597282		
1972	7.11094		
1971.5	6.552466		
1971	6.110829		
1970.5	5.671813		
1970	5.274833		
1969.5	4.893995		
1969	4.533863		
1968.5	4.197195		
1968	3.836175		
1967.5	3.54507		
1967	3.260916		
1966.5	3.019668		
1966	2.779483		
1965.5	2.554134		
1965	2.335249		
1964.5	2.14149		
1964	1.970387		
1963.5	1.824493		
1963	1.677825		
1962.5	1.542592		
1962	1.405895		
1961.5	1.291905		
