MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57983.984,18.58,0.03,2.52905223386e-16,6.9880295677e-18,T80Cam_g,T80Cam,GeneralFilters
57983.985,18.55,0.03,2.59990691522e-16,7.18380828739e-18,T80Cam_g,T80Cam,GeneralFilters
57983.986,18.61,0.04,2.46012853927e-16,9.06344848221e-18,T80Cam_g,T80Cam,GeneralFilters
57983.989,17.77,0.02,2.12779746398e-17,3.91954777718e-19,VISTA_Ks,VIRCAM,GeneralFilters
57983.989,17.45,0.01,8.24720160698e-17,7.59595339166e-19,VISTA_J,VIRCAM,GeneralFilters
57983.99,17.52,0.01,4.81023138733e-17,4.43038683453e-19,FourStar_H,FourStar,GeneralFilters
57983.994,18.65,0.03,2.371143288e-16,6.55171102595e-18,T80Cam_g,T80Cam,GeneralFilters
57983.995,18.22,0.04,2.25382485255e-16,8.30339761232e-18,Swope_V,E2V4kx4kccd,GeneralFilters
57983.995,18.6,0.04,2.48289182838e-16,9.14731153848e-18,T80Cam_g,T80Cam,GeneralFilters
57983.996,18.63,0.04,2.415226133e-16,8.89802190407e-18,T80Cam_g,T80Cam,GeneralFilters
57983.999,17.23,0.01,1.46030490899e-16,1.34499052587e-18,VISTA_Y,VIRCAM,GeneralFilters
57984,17.63,0.1,4.31602451538e-17,3.97520548404e-18,FLAMINGOS-2_H,FLAMINGOS-2,GeneralFilters
57984.002,17.32,0.01,1.25285948142e-16,1.15392622622e-18,FourStar_J1,FourStar,GeneralFilters
57984.004,18.69,0.04,2.28537672014e-16,8.41963898828e-18,T80Cam_g,T80Cam,GeneralFilters
57984.005,18.67,0.03,2.3278650456e-16,6.43212882299e-18,T80Cam_g,T80Cam,GeneralFilters
57984.007,18.62,0.04,2.43757394525e-16,8.98035428706e-18,T80Cam_g,T80Cam,GeneralFilters
57984.01,18.14,0.04,2.47052164286e-16,9.10173809083e-18,EFOSC2_V,EFOSC2,GeneralFilters
57984.012,18.16,0.06,2.42542954106e-16,1.34034189729e-17,EFOSC2_V,EFOSC2,GeneralFilters
57984.013,18.18,0.04,2.38116046288e-16,8.77251933736e-18,EFOSC2_V,EFOSC2,GeneralFilters
57984.014,18.68,0.04,2.30652305058e-16,8.49754494865e-18,T80Cam_g,T80Cam,GeneralFilters
57984.016,18.67,0.04,2.3278650456e-16,8.57617176399e-18,T80Cam_g,T80Cam,GeneralFilters
57984.017,18.57,0.03,2.55245326606e-16,7.05268900919e-18,T80Cam_g,T80Cam,GeneralFilters
57984.034,19.07,0.04,1.70395375349e-16,6.2775976191e-18,Swope_B,E2V4kx4kccd,GeneralFilters
57984.036,20.79,0.5,5.30273772288e-17,2.44200096655e-17,UVOT_U,UVOT,GeneralFilters
57984.044,17.8,0.02,1.6624286726e-16,3.06230678376e-18,Swope_i,E2V4kx4kccd,GeneralFilters
57984.046,18.25,0.06,2.23248558239e-16,1.23371712536e-17,EFOSC2_V,EFOSC2,GeneralFilters
57984.047,18.18,0.1,2.38116046288e-16,2.19312983434e-17,EFOSC2_V,EFOSC2,GeneralFilters
57984.047,17.98,0.02,2.20853590946e-16,4.06827348996e-18,Swope_r,E2V4kx4kccd,GeneralFilters
57984.055,18.49,0.12,2.60347577682e-16,2.87746776656e-17,Swope_g,E2V4kx4kccd,GeneralFilters
57984.056,20.1,0.28,9.37603605888e-17,2.41798153638e-17,EFOSC2_U,EFOSC2,GeneralFilters
57984.229,17.74,0.01,1.16975192824e-16,1.07738134098e-18,HSC_z,HSC,GeneralFilters
57984.231,17.87,0.06,1.58097562692e-16,8.73679418623e-18,GFC_i,GFC,GeneralFilters
57984.231,17.58,0.11,1.1800469354e-16,1.19554973229e-17,GFC_y,GFC,GeneralFilters
57984.231,17.78,0.07,1.2335625046e-16,7.9530713762e-18,GFC_z,GFC,GeneralFilters
57984.361,18.07,0.13,1.35984689985e-16,1.62820486418e-17,Sinistro_i,Sinistro,GeneralFilters
57984.365,18.34,0.11,1.61775213727e-16,1.63900526039e-17,Sinistro_r,Sinistro,GeneralFilters
57984.369,19.28,0.17,1.28633411403e-16,2.01408775379e-17,Sinistro_g,Sinistro,GeneralFilters
57984.379,17.96,0.07,1.31991686054e-16,8.50981848383e-18,Skymapper_i,Skymapper,GeneralFilters
57984.392,18.18,0.08,1.07782083998e-16,7.94167743698e-18,Skymapper_i,Skymapper,GeneralFilters
57984.456,18.46,0.17,1.43464748294e-16,2.24631057739e-17,Skymapper_r,Skymapper,GeneralFilters
57984.699,17.52,0.04,4.71273851759e-17,1.73623703324e-18,SIRIUS_H,SIRIUS,GeneralFilters
57984.699,17.69,0.04,6.54415107391e-17,2.41095435345e-18,SIRIUS_J,SIRIUS,GeneralFilters
57984.699,17.61,0.04,2.45067066479e-17,9.02860438493e-19,SIRIUS_Ks,SIRIUS,GeneralFilters
57984.738,18.93,0.1,9.39532877696e-17,8.65341759424e-18,Sinistro_r,Sinistro,GeneralFilters
57984.741,18.9,0.11,9.65855110897e-17,9.78543975351e-18,Sinistro_r,Sinistro,GeneralFilters
57984.745,18.33,0.12,1.07026177716e-16,1.18289703057e-17,Sinistro_i,Sinistro,GeneralFilters
