MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57983.0030595,17.5991402781,0.189916938173,3.01220883104e-16,5.26895461183e-17,DECam_r,DECam,KN_Filters_clean
57983.0030595,17.6112233672,0.206610905377,2.97887199656e-16,5.66866461222e-17,DECam_r,DECam,KN_Filters_clean
57983.0030595,17.6295376258,0.268054650643,2.92904563661e-16,7.23144628869e-17,DECam_r,DECam,KN_Filters_clean
57983.0030595,17.8096509982,0.207026064811,6.4257588526e-16,1.22525118242e-16,DECam_u,DECam,KN_Filters_clean
57983.0030595,17.8303322097,0.193022952089,6.30451872003e-16,1.12082180691e-16,DECam_u,DECam,KN_Filters_clean
57983.0030595,17.8353437507,0.245763265174,6.27548538112e-16,1.42049585439e-16,DECam_u,DECam,KN_Filters_clean
57983.0030595,17.8382397946,0.225368033752,6.2587687383e-16,1.29914282869e-16,DECam_u,DECam,KN_Filters_clean
57983.0030595,17.840601592,0.24506724418,6.24516886223e-16,1.40962999649e-16,DECam_u,DECam,KN_Filters_clean
57983.0030595,17.8462822159,0.189916938173,6.21257916896e-16,1.08670412643e-16,DECam_u,DECam,KN_Filters_clean
57983.0030595,17.8512401502,0.226809988945,6.18427455904e-16,1.29189322252e-16,DECam_u,DECam,KN_Filters_clean
57983.0030595,17.8640788307,0.206610905377,6.11157703364e-16,1.16300668493e-16,DECam_u,DECam,KN_Filters_clean
57983.0030595,17.8741252906,0.268054650643,6.05528664038e-16,1.49497432048e-16,DECam_u,DECam,KN_Filters_clean
57983.0030595,17.7731008756,0.193022952089,1.15728647259e-16,2.05743209421e-17,DECam_z,DECam,KN_Filters_clean
57983.0030595,17.7753865442,0.207026064811,1.15485274052e-16,2.20205071229e-17,DECam_z,DECam,KN_Filters_clean
57983.0030595,17.7786163873,0.245763265174,1.15142239468e-16,2.60631750208e-17,DECam_z,DECam,KN_Filters_clean
57983.0030595,17.7869382763,0.24506724418,1.14263077371e-16,2.5790921736e-17,DECam_z,DECam,KN_Filters_clean
57983.0030595,17.8068520249,0.225368033752,1.12186452963e-16,2.32867249035e-17,DECam_z,DECam,KN_Filters_clean
57983.0030595,17.8119567749,0.226809988945,1.11660229723e-16,2.33257907013e-17,DECam_z,DECam,KN_Filters_clean
57983.0030595,17.8212189086,0.189916938173,1.10711736716e-16,1.93656930338e-17,DECam_z,DECam,KN_Filters_clean
57983.0030595,17.8288018927,0.206610905377,1.09941199225e-16,2.09213348607e-17,DECam_z,DECam,KN_Filters_clean
