MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57984.751,18.25,0.3,8.07937227436e-17,2.23241305916e-17,Sinistro_z,Sinistro,KN_Filters_clean
57984.758,19.93,0.21,7.06893173095e-17,1.36725261348e-17,Sinistro_g,Sinistro,KN_Filters_clean
57984.758,19.11,0.06,1.24179152386e-16,6.86239356345e-18,Sinistro_w,Sinistro,KN_Filters_clean
57984.761,19.8,0.2,7.96808186501e-17,1.46777492177e-17,Sinistro_g,Sinistro,KN_Filters_clean
57984.761,19.11,0.06,1.24179152386e-16,6.86239356345e-18,Sinistro_w,Sinistro,KN_Filters_clean
57984.9620,17.55,0.06,2.60312885647e-17,1.43854216801e-18,FourStar_Ks,FourStar,KN_Filters_clean
57984.9625,17.55,0.01,8.00408242042e-17,7.37203234574e-19,FourStar_J,FourStar,KN_Filters_clean
57984.968,19.1,0.11,8.03363289379e-17,8.13917427128e-18,Sinistro_r,Sinistro,KN_Filters_clean
57984.9714,17.57,0.01,4.59373531195e-17,4.23098658018e-19,FourStar_H,FourStar,KN_Filters_clean
57984.9714,19.4,0.11,7.74085019518e-17,7.84254515727e-18,EFOSC2_V,EFOSC2,KN_Filters_clean
57984.9746503,17.771985892,0.0323418323291,9.29651458008e-17,2.76923910685e-18,DECam_Y,DECam,KN_Filters_clean
57984.975,18.61,0.15,8.26970496181e-17,1.14250196211e-17,Sinistro_i,Sinistro,KN_Filters_clean
57984.97569,18.1814465669,0.0299411051811,7.94515913525e-17,2.19101881568e-18,DECam_z,DECam,KN_Filters_clean
57984.976388999996,18.3834253954,0.0314911346789,9.45685282609e-17,2.74290407449e-18,DECam_i,DECam,KN_Filters_clean
57984.97707919999,19.0348518723,0.0338112170222,8.02787200863e-17,2.49998223805e-18,DECam_r,DECam,KN_Filters_clean
57984.9777679,20.2091788065,0.0499190807263,5.38351106953e-17,2.47518616855e-18,DECam_g,DECam,KN_Filters_clean
57984.978,18.46,0.1,9.49489170061e-17,8.74511843577e-18,Sinistro_i,Sinistro,KN_Filters_clean
57984.98001819999,22.2605680399,0.159378300537,1.06551018777e-17,1.5640926607e-18,DECam_u,DECam,KN_Filters_clean
57984.9801,17.52,0.01,1.04208312693e-16,9.59794029492e-19,FourStar_J1,FourStar,KN_Filters_clean
57984.982,18.19,0.2,8.538422083e-17,1.57283547248e-17,Sinistro_z,Sinistro,KN_Filters_clean
57984.988,19.56,0.07,8.20443523603e-17,5.28959487586e-18,Sinistro_w,Sinistro,KN_Filters_clean
57984.992,19.48,0.07,8.83178912907e-17,5.69406487806e-18,Sinistro_w,Sinistro,KN_Filters_clean
57985.002,18.46,0.1,9.49489170061e-17,8.74511843577e-18,Sinistro_i,Sinistro,KN_Filters_clean
57985.006,18.45,0.11,9.58274685183e-17,9.70863962242e-18,Sinistro_i,Sinistro,KN_Filters_clean
57985.016,19.46,0.06,8.99598434798e-17,4.97136466955e-18,Sinistro_w,Sinistro,KN_Filters_clean
57985.0164,19.53,0.12,6.86734178894e-17,7.59006663922e-18,EFOSC2_V,EFOSC2,KN_Filters_clean
57985.017,20.15,0.33,5.77236503583e-17,1.75445974213e-17,Sinistro_g,Sinistro,KN_Filters_clean
57985.019,19.36,0.05,9.86390069041e-17,4.5424941377e-18,Sinistro_w,Sinistro,KN_Filters_clean
