MJD	band	Flux	Flux_err	FilterSet	Instr
57983.994	T80Cam_g	3.391579842007426e-16	9.371281423069282e-18	GeneralFilters	T80Cam
57983.995	Swope_V	3.07212145192459e-16	1.1318113694507585e-17	GeneralFilters	E2V4kx4kccd
57983.995	T80Cam_g	3.551420075554106e-16	1.308391507990162e-17	GeneralFilters	T80Cam
57983.996	T80Cam_g	3.4546340189679615e-16	1.2727342070094397e-17	GeneralFilters	T80Cam
57983.999	VISTA_Y	1.6424851543623552e-16	1.5127847327633824e-18	GeneralFilters	VIRCAM
57984.0	FLAMINGOS-2_H	4.562717809597912e-17	4.2024184047628554e-18	GeneralFilters	FLAMINGOS-2
57984.002	FourStar_J1	1.4007510475479328e-16	1.2901393924390466e-18	GeneralFilters	FourStar
57984.004	T80Cam_g	3.268903087656789e-16	1.2043084032140639e-17	GeneralFilters	T80Cam
57984.005	T80Cam_g	3.329676533479346e-16	9.20023626056286e-18	GeneralFilters	T80Cam
57984.007	T80Cam_g	3.4865993539705533e-16	1.2845106716333405e-17	GeneralFilters	T80Cam
57984.01	EFOSC2_V	3.334984123562109e-16	1.2286535565257812e-17	GeneralFilters	EFOSC2
57984.012	EFOSC2_V	3.2741138033057934e-16	1.8093421527093145e-17	GeneralFilters	EFOSC2
57984.013	EFOSC2_V	3.2143544916147945e-16	1.1842119577575823e-17	GeneralFilters	EFOSC2
57984.014	T80Cam_g	3.299149875531522e-16	1.2154517316708603e-17	GeneralFilters	T80Cam
57984.016	T80Cam_g	3.329676533479346e-16	1.2266981680755245e-17	GeneralFilters	T80Cam
57984.017	T80Cam_g	3.650917719163632e-16	1.0087858459069275e-17	GeneralFilters	T80Cam
57984.034	Swope_B	2.5339010365404063e-16	9.335236406176578e-18	GeneralFilters	E2V4kx4kccd
57984.036	UVOT_U	8.607131844031157e-17	3.963730695496632e-17	GeneralFilters	UVOT
57984.044	Swope_i	2.0213999505312531e-16	3.723556314462948e-18	GeneralFilters	E2V4kx4kccd
57984.046	EFOSC2_V	3.0136566481291374e-16	1.6654082096116416e-17	GeneralFilters	EFOSC2
57984.047	EFOSC2_V	3.2143544916147945e-16	2.9605298943939553e-17	GeneralFilters	EFOSC2
57984.047	Swope_r	2.8688457322655855e-16	5.284609133756243e-18	GeneralFilters	E2V4kx4kccd
57984.055	Swope_g	3.735430045608241e-16	4.128549858684014e-17	GeneralFilters	E2V4kx4kccd
57984.056	EFOSC2_U	1.5096587415208725e-16	3.8932518393793175e-17	GeneralFilters	EFOSC2
57984.229	HSC_z	1.3547424615799647e-16	1.247763918744407e-18	GeneralFilters	HSC
57984.231	GFC_i	1.931471468880111e-16	1.0673705788277006e-17	GeneralFilters	GFC
57984.231	GFC_y	1.3429039196566799e-16	1.3605462405548445e-17	GeneralFilters	GFC
57984.231	GFC_z	1.4392984101115807e-16	9.279499777743636e-18	GeneralFilters	GFC
57984.361	Sinistro_i	1.6622494940359674e-16	1.9902848710164717e-17	GeneralFilters	Sinistro
57984.365	Sinistro_r	2.1015837582340332e-16	2.1291931906877056e-17	GeneralFilters	Sinistro
57984.369	Sinistro_g	1.850612371083979e-16	2.8976108718248524e-17	GeneralFilters	Sinistro
57984.379	Skymapper_i	1.5958486566483995e-16	1.0288816516962943e-17	GeneralFilters	Skymapper
57984.392	Skymapper_i	1.3031418803802809e-16	9.601904217023494e-18	GeneralFilters	Skymapper
57984.456	Skymapper_r	1.871617987613041e-16	2.9305005810855286e-17	GeneralFilters	Skymapper
57984.699	SIRIUS_H	4.9824692668360255e-17	1.835609513613473e-18	GeneralFilters	SIRIUS
57984.699	SIRIUS_J	7.128326223610496e-17	2.626172432073331e-18	GeneralFilters	SIRIUS
57984.699	SIRIUS_Ks	2.5397866711822814e-17	9.35691988551553e-19	GeneralFilters	SIRIUS
57984.738	Sinistro_r	1.2205250672237277e-16	1.1241451301656487e-17	GeneralFilters	Sinistro
57984.741	Sinistro_r	1.2547196613777008e-16	1.271203466796719e-17	GeneralFilters	Sinistro
57984.745	Sinistro_i	1.308266465707636e-16	1.4459495335677297e-17	GeneralFilters	Sinistro
57984.748	Sinistro_i	1.3953919378595558e-16	1.9278052050025144e-17	GeneralFilters	Sinistro
57984.751	Sinistro_V	1.4661009464221656e-16	9.45230211536566e-18	GeneralFilters	Sinistro
57984.751	Sinistro_z	9.423208168770326e-17	2.603728638907464e-17	GeneralFilters	Sinistro
57984.758	Sinistro_g	1.0169871395744588e-16	1.9670275189825055e-17	GeneralFilters	Sinistro
57984.761	Sinistro_g	1.1463453166922312e-16	2.1116461101108856e-17	GeneralFilters	Sinistro
57984.761	GFC_r	1.3592015318536314e-16	8.763096119763551e-18	GeneralFilters	GFC
57984.962	FourStar_Ks	2.6975200123722178e-17	1.4907046484477454e-18	GeneralFilters	FourStar
57984.963	FourStar_J	8.724913972031369e-17	8.035942739859869e-19	GeneralFilters	FourStar
57984.968	FLAMINGOS-2_H	4.238611477472099e-17	3.513514897094562e-18	GeneralFilters	FLAMINGOS-2
57984.968	Sinistro_r	1.043630357224862e-16	1.0573409893819568e-17	GeneralFilters	Sinistro
57984.969	GROND_H	4.3712868573888683e-17	3.220883185602555e-18	GeneralFilters	GROND
57984.969	GROND_J	7.687956932400557e-17	6.372783010123111e-18	GeneralFilters	GROND
57984.969	GROND_K	2.3928592749602985e-17	2.2039048384664987e-18	GeneralFilters	GROND
57984.969	GROND_g	8.475860596261288e-17	8.587211714065625e-18	GeneralFilters	GROND
57984.969	GROND_i	9.373194402275815e-17	3.45321243271326e-18	GeneralFilters	GROND
57984.969	GROND_r	1.0588635902143955e-16	1.6579239924738236e-17	GeneralFilters	GROND
57984.969	GROND_z	8.415541073966114e-17	4.650599862332756e-18	GeneralFilters	GROND
57984.971	FourStar_H	4.859445144251727e-17	4.475714379747812e-19	GeneralFilters	FourStar
57984.971	EFOSC2_V	1.0449458145168282e-16	1.0586737284169786e-17	GeneralFilters	EFOSC2
