MJD	band	Flux	Flux_err	FilterSet	Instr	Phase	Log_Phase	Log_Flux	Log_Flux_err
57982.83271851231	DECam_z	1.1182331641964252e-16	6.298477934047732e-11	SUDO_PTS	SUDO_PTS	0.3041999923152616	-0.5168408012542219	-15.951467631721487	244617.5179495779
57982.85851851166	DECam_z	1.1970104184120997e-16	6.299159025482311e-11	SUDO_PTS	SUDO_PTS	0.3299999916634988	-0.4814860710933141	-15.92190206961097	228543.54175355268
57982.88971851087	DECam_z	1.2757718495101034e-16	6.299531519552005e-11	SUDO_PTS	SUDO_PTS	0.3611999908753205	-0.4422522693297334	-15.894226984986394	214446.789883913
57982.93151850982	DECam_z	1.3546228229245323e-16	6.299713604041031e-11	SUDO_PTS	SUDO_PTS	0.4029999898193637	-0.3946949648300921	-15.868181611597894	201969.9365391756
57982.53281851989	Swope_i	2.7061376243316115e-18	3.3807597209409894e+47	SUDO_PTS	SUDO_PTS	0.004299999891372863	-2.366531555391615	-17.567650120536644	5.425612054036205e+64
57982.553118519376	Swope_i	1.6244944393917874e-17	3.913057798669816e+47	SUDO_PTS	SUDO_PTS	0.02459999937855173	-1.6090649038678224	-16.789281770896775	1.0461220230258537e+64
57982.5719185189	Swope_i	2.983116164712941e-17	3.9131010325614975e+47	SUDO_PTS	SUDO_PTS	0.04339999890362378	-1.362510281458691	-16.52532983456568	5.6968555421136566e+63
57982.589618518454	Swope_i	4.341597636842074e-17	3.9131010395932685e+47	SUDO_PTS	SUDO_PTS	0.06109999845648417	-1.2139588007286473	-16.362350427817635	3.914315260824922e+63
57982.60651851803	Swope_i	5.695631804984747e-17	3.913101039595169e+47	SUDO_PTS	SUDO_PTS	0.07799999802955426	-1.1079054082807211	-16.244458093498977	2.9837571086296918e+63
57982.62301851761	Swope_i	7.05483741210734e-17	3.91310103959517e+47	SUDO_PTS	SUDO_PTS	0.0944999976127292	-1.0245682024619387	-16.151512990674803	2.4088977383228225e+63
57982.6392185172	Swope_i	8.407660172535308e-17	3.91310103959517e+47	SUDO_PTS	SUDO_PTS	0.11069999720348278	-0.9558523900924788	-16.07532485028325	2.0212974284777725e+63
57982.65551851679	Swope_i	9.768737487208799e-17	3.91310103959517e+47	SUDO_PTS	SUDO_PTS	0.12699999679171015	-0.8961962900152447	-16.010161560924868	1.7396702397329313e+63
57982.671918516375	Swope_i	1.1119222162313353e-16	3.91310103959517e+47	SUDO_PTS	SUDO_PTS	0.1433999963774113	-0.8434508596394202	-15.953925592468934	1.5283786615812094e+63
57982.688918515945	Swope_i	1.247961254700968e-16	3.91310103959517e+47	SUDO_PTS	SUDO_PTS	0.16039999594795518	-0.7947956470230568	-15.90379889793146	1.3617715952513876e+63
57982.7066185155	Swope_i	1.383375883141324e-16	3.91310103959517e+47	SUDO_PTS	SUDO_PTS	0.17809999550081557	-0.749336091507958	-15.859059799793625	1.2284717475101797e+63
57982.72551851502	Swope_i	1.5190251697621036e-16	3.91310103959517e+47	SUDO_PTS	SUDO_PTS	0.1969999950233614	-0.7055337848096086	-15.81843502995668	1.1187689463316867e+63
