MJD	band	Flux	Flux_err	FilterSet	Instr
57985.381	Sinistro_w	1.0263246818840067e-16	4.726399826146816e-18	KN_Filters_clean	Sinistro
57985.391	Sinistro_i	9.304567898697482e-17	1.5425682724978837e-17	KN_Filters_clean	Sinistro
57985.395	Sinistro_i	9.924216030479403e-17	1.371081113486993e-17	KN_Filters_clean	Sinistro
57985.405	Sinistro_w	1.1048028179377195e-16	7.122926997984195e-18	KN_Filters_clean	Sinistro
57985.408	Sinistro_w	1.07469387396886e-16	7.918637099952973e-18	KN_Filters_clean	Sinistro
57985.726	Sinistro_r	5.735175384930831e-17	6.338750086583793e-18	KN_Filters_clean	Sinistro
57985.733	Sinistro_i	8.1789246923334e-17	1.5066136058682698e-17	KN_Filters_clean	Sinistro
57985.736	Sinistro_i	8.804327916195455e-17	1.2163628528202779e-17	KN_Filters_clean	Sinistro
57985.74	Sinistro_z	8.05747163370011e-17	2.5232099136499248e-17	KN_Filters_clean	Sinistro
57985.746	Sinistro_w	6.357476643230298e-17	7.612088092843927e-18	KN_Filters_clean	Sinistro
57985.75	Sinistro_w	7.232438898334967e-17	3.996793438389671e-18	KN_Filters_clean	Sinistro
57985.9687	EFOSC2_V	3.656737375961671e-17	6.735959176720816e-18	KN_Filters_clean	EFOSC2
57985.9893	Swope_V	3.693502360477278e-17	4.082209668553588e-18	KN_Filters_clean	Swope
57985.9951	Swope_B	2.2069355433804675e-17	2.6424615793662675e-18	KN_Filters_clean	Swope
57986.0013	Swope_g	4.574468145061855e-17	2.1066204318357603e-18	KN_Filters_clean	Swope
57986.0046	Swope_i	7.205303034763742e-17	3.318164671672605e-18	KN_Filters_clean	Swope
57986.0076	Swope_r	5.268745188450515e-17	4.367424286698102e-18	KN_Filters_clean	Swope
57986.0156	EFOSC2_V	3.6232122061890725e-17	5.0056526488440285e-18	KN_Filters_clean	EFOSC2
57986.0531	EFOSC2_V	3.2143544916147943e-17	9.177642672629362e-18	KN_Filters_clean	EFOSC2
57986.715	Sinistro_r	3.4557849060113055e-17	9.866976123372207e-18	KN_Filters_clean	Sinistro
57986.969	Sinistro_r	3.6186510310020125e-17	9.332122151231268e-18	KN_Filters_clean	Sinistro
57986.9885	Swope_i	4.673607652502036e-17	1.7218206897817982e-18	KN_Filters_clean	Swope
57986.992	Sinistro_w	3.9745207923142326e-17	3.294602038138004e-18	KN_Filters_clean	Sinistro
57986.9965	Swope_r	2.616418404260594e-17	2.891772487053861e-18	KN_Filters_clean	Swope
57987.0044	Swope_g	1.8549858779628394e-17	1.7085051321245337e-18	KN_Filters_clean	Swope
57987.358	Sinistro_r	2.412941002894301e-17	7.333922618279807e-18	KN_Filters_clean	Sinistro
57988.002	Swope_i	2.0780320941835755e-17	2.2967259469544242e-18	KN_Filters_clean	Swope
57989.2344	LRIS_I	1.2782034802063548e-17	1.0595420205599194e-18	KN_Filters_clean	LRIS
57989.9897	Swope_i	7.205303034763742e-18	1.1945392818023808e-18	KN_Filters_clean	Swope
