MJD	band	Flux	Flux_err	FilterSet	Instr
57983.994	T80Cam_g	3.3892335244539833e-16	9.364797929899103e-18	GeneralFilters	T80Cam
57983.995	Swope_V	3.069996137821285e-16	1.1310283291213261e-17	GeneralFilters	E2V4kx4kccd
57983.995	T80Cam_g	3.548963179468968e-16	1.3074863012170578e-17	GeneralFilters	T80Cam
57983.996	T80Cam_g	3.4522440801231996e-16	1.2718536696350928e-17	GeneralFilters	T80Cam
57983.999	VISTA_Y	1.641348872184247e-16	1.5117381171397794e-18	GeneralFilters	VIRCAM
57984.0	FLAMINGOS-2_H	4.559561290991963e-17	4.199510974089492e-18	GeneralFilters	FLAMINGOS-2
57984.002	FourStar_J1	1.3997819986367353e-16	1.2892468133348402e-18	GeneralFilters	FourStar
57984.004	T80Cam_g	3.2666416387092588e-16	1.2034752060274907e-17	GeneralFilters	T80Cam
57984.005	T80Cam_g	3.327373041052275e-16	9.193871104477552e-18	GeneralFilters	T80Cam
57984.007	T80Cam_g	3.4841873013018017e-16	1.2836219867461537e-17	GeneralFilters	T80Cam
57984.01	EFOSC2_V	3.3326769593158114e-16	1.2278035162166568e-17	GeneralFilters	EFOSC2
57984.012	EFOSC2_V	3.2718487495573887e-16	1.808090364715822e-17	GeneralFilters	EFOSC2
57984.013	EFOSC2_V	3.212130779752006e-16	1.183392664237005e-17	GeneralFilters	EFOSC2
57984.014	T80Cam_g	3.296867501643587e-16	1.2146108250052038e-17	GeneralFilters	T80Cam
57984.016	T80Cam_g	3.327373041052275e-16	1.2258494805960533e-17	GeneralFilters	T80Cam
57984.017	T80Cam_g	3.648391989940077e-16	1.0080879204204687e-17	GeneralFilters	T80Cam
57984.034	Swope_B	2.5321480669052355e-16	9.328777850636716e-18	GeneralFilters	E2V4kx4kccd
57984.036	UVOT_U	8.601177372837773e-17	3.960988400213146e-17	GeneralFilters	UVOT
57984.044	Swope_i	2.0200015325798876e-16	3.720980183114071e-18	GeneralFilters	E2V4kx4kccd
57984.046	EFOSC2_V	3.0115717803677494e-16	1.664256001900288e-17	GeneralFilters	EFOSC2
57984.047	EFOSC2_V	3.212130779752006e-16	2.958481660595887e-17	GeneralFilters	EFOSC2
57984.047	Swope_r	2.8668610456568286e-16	5.2809529926499546e-18	GeneralFilters	E2V4kx4kccd
57984.055	Swope_g	3.7328458501982564e-16	4.1256935337378634e-17	GeneralFilters	E2V4kx4kccd
57984.056	EFOSC2_U	1.5086143495394895e-16	3.890558304680611e-17	GeneralFilters	EFOSC2
57984.229	HSC_z	1.3538052417045127e-16	1.246900656995746e-18	GeneralFilters	HSC
57984.231	GFC_i	1.9301352640396803e-16	1.0666321216676506e-17	GeneralFilters	GFC
57984.231	GFC_y	1.3419748897688286e-16	1.3596049506808485e-17	GeneralFilters	GFC
57984.231	GFC_z	1.4383026938696467e-16	9.273079783430359e-18	GeneralFilters	GFC
57984.361	Sinistro_i	1.6610995387555062e-16	1.9889078983512354e-17	GeneralFilters	Sinistro
57984.365	Sinistro_r	2.1001298685841762e-16	2.1277201147174433e-17	GeneralFilters	Sinistro
57984.369	Sinistro_g	1.8493321051019842e-16	2.895606168364362e-17	GeneralFilters	Sinistro
57984.379	Skymapper_i	1.594744637913052e-16	1.0281698229854427e-17	GeneralFilters	Skymapper
57984.392	Skymapper_i	1.302240358142929e-16	9.595261168142447e-18	GeneralFilters	Skymapper
57984.456	Skymapper_r	1.87032318981569e-16	2.9284731229769955e-17	GeneralFilters	Skymapper
57984.699	SIRIUS_H	4.9790223613751896e-17	1.834339552638911e-18	GeneralFilters	SIRIUS
