MJD	band	Flux	Flux_err	FilterSet	Instr
56488.185999999994	sdss_g'	1.9952780059750324e-15	1.837718957175069e-17	GeneralFilters	P60
56504.192	sdss_i'	7.541935399858024e-16	6.946379209615346e-18	GeneralFilters	P60
56504.193	sdss_r'	1.0090664186672557e-15	9.293845173854866e-18	GeneralFilters	P60
56504.194	sdss_g'	8.725763047720035e-16	8.03672476746687e-18	GeneralFilters	P60
56505.177	sdss_i'	7.4042795652058615e-16	6.81959350047277e-18	GeneralFilters	P60
56505.178	sdss_r'	9.84282476445352e-16	9.065576630238247e-18	GeneralFilters	P60
56505.179000000004	sdss_g'	8.394665881441444e-16	7.73177300770422e-18	GeneralFilters	P60
56506.181	sdss_i'	7.39746311128236e-16	6.813315314393207e-18	GeneralFilters	P60
56506.182	sdss_r'	9.539371303249103e-16	8.786085663760171e-18	GeneralFilters	P60
56506.183	sdss_g'	8.340717566066842e-16	7.682084772995726e-18	GeneralFilters	P60
56507.164000000004	sdss_i'	7.064522426641203e-16	6.506665611484423e-18	GeneralFilters	P60
56507.165	sdss_r'	9.313646564935361e-16	8.578185496735833e-18	GeneralFilters	P60
56507.166	sdss_g'	8.046433295121303e-16	7.4110389428393e-18	GeneralFilters	P60
56508.193	sdss_i'	6.834123271025188e-16	6.2944601470198746e-18	GeneralFilters	P60
56508.194	sdss_r'	9.018197729872198e-16	8.306067063391314e-18	GeneralFilters	P60
56508.195	sdss_g'	7.965323437698666e-16	7.336334003399398e-18	GeneralFilters	P60
56508.195999999996	sdss_i'	7.019122277413416e-16	6.46485052874958e-18	GeneralFilters	P60
56508.197	sdss_r'	9.051483274716902e-16	8.336724183140173e-18	GeneralFilters	P60
56508.198	sdss_g'	8.00208970018372e-16	7.370196982582323e-18	GeneralFilters	P60
56509.16099999999	sdss_i'	6.556662182085051e-16	6.0389090401079854e-18	GeneralFilters	P60
56509.162000000004	sdss_r'	8.845446360912229e-16	8.1469571726166e-18	GeneralFilters	P60
56509.163	sdss_g'	7.819939900444476e-16	7.202430817163751e-18	GeneralFilters	P60
56528.16	sdss_i'	4.552844402412241e-16	4.1933246606895114e-18	GeneralFilters	P60
56528.16099999999	sdss_r'	5.974750211066837e-16	5.502948308156663e-18	GeneralFilters	P60
56528.162000000004	sdss_g'	5.706941428704934e-16	5.256287304133872e-18	GeneralFilters	P60
56533.144	sdss_i'	4.248961619416718e-16	7.826876548449254e-18	GeneralFilters	P60
56533.145	sdss_r'	5.320099480797874e-16	9.79998540620607e-18	GeneralFilters	P60
56533.14599999999	sdss_g'	5.490392787087363e-16	1.0113677268983966e-17	GeneralFilters	P60
56537.162000000004	sdss_i'	3.7938731692688997e-16	6.988572643431417e-18	GeneralFilters	P60
56537.163	sdss_r'	4.843058926899283e-16	4.4606221158318425e-18	GeneralFilters	P60
56537.172999999995	sdss_g'	5.316225757913533e-16	4.896424872456896e-18	GeneralFilters	P60
56541.164000000004	sdss_i'	3.656645072493339e-16	6.7357891474418834e-18	GeneralFilters	P60
56541.165	sdss_r'	4.540668047162127e-16	4.182109823054246e-18	GeneralFilters	P60
